QTY,MPN,Value,Manufacturer,Ref. Des.,Description,Datasheet,Package
1,"Generic Pin header 1×6, 2.54mm pitch, vertical","Generic Pin header 1×6, 2.54mm pitch, vertical","",J1,"","","Pin header 1×6, 2.54mm pitch, vertical"
1,FH33-6S-0.5SH(10),FH33-6S-0.5SH(10),Hirose,J2,6 Pin FFC Connector,https://www.hirose.com/product/download/type=2d&lang=en&num=FH33-6S-0.5SH(10),FH33-6S-0.5SH(10)
1,SFH11-PBPC-D10-ST-BK,SFH11-PBPC-D10-ST-BK,Sullins Connector Solutions,J3,20 Pin header with polarizing key,https://drawings-pdf.s3.amazonaws.com/11160.pdf,SFH11-PBPC-D10-ST-BK
