QTY,MPN,Value,Manufacturer,Ref. Des.,Description,Datasheet,Package
1,Xlamp XP-E,Xlamp XP-E,Cree,D1,Xlamp XP-E LED,https://www.cree.com/led-components/media/documents/XLampXPE.pdf,XLAMP XP-E/G
1,TMM-102-01-T-S-RA,TMM-102-01-T-S-RA,Samtec,J1,2 Pin 2.00mm header right-angle,http://suddendocs.samtec.com/prints/tmm-1xx-xx-xx-x-ra-xxx-mkt.pdf,TMM-102-01-_-S-RA
1,FP11121_LISA2-O-CLIP,FP11121_LISA2-O-CLIP,Ledil,MP1,http://www.ledil.com/data/prod/Lisa/11121/11121-ds.pdf,"LED lens, snap in",FP11121_LISA2-O-CLIP
